Job_ID,Machine_ID,Job_Status,Energy_Consumption,pred_abnormal_prob,orig_Scheduled_start,orig_Scheduled_end,priority_score,optimized_start,optimized_end,Processing_Time
J234,M01,Completed,9.95,0.0,2023-03-19 22:50:00,2023-03-20 00:41:00,,2023-03-20 16:23:00,2023-03-20 18:14:00,111.0
J237,M01,Completed,6.17,0.0,2023-03-19 23:20:00,2023-03-20 00:43:00,,2023-03-20 18:14:00,2023-03-20 19:37:00,83.0
J241,M01,Completed,9.52,0.02,2023-03-20 00:00:00,2023-03-20 01:35:00,,2023-03-20 19:37:00,2023-03-20 21:12:00,95.0
J246,M01,Completed,3.02,0.0,2023-03-20 00:50:00,2023-03-20 01:30:00,,2023-03-20 21:12:00,2023-03-20 21:52:00,40.0
J248,M01,Completed,5.84,0.0,2023-03-20 01:10:00,2023-03-20 02:01:00,,2023-03-20 21:52:00,2023-03-20 22:43:00,51.0
J251,M01,Completed,8.57,0.02,2023-03-20 01:40:00,2023-03-20 02:01:00,,2023-03-20 22:43:00,2023-03-20 23:04:00,21.0
J253,M01,Completed,9.9,0.0,2023-03-20 02:00:00,2023-03-20 02:43:00,,2023-03-20 23:04:00,2023-03-20 23:47:00,43.0
J255,M01,Completed,11.78,0.0,2023-03-20 02:20:00,2023-03-20 02:58:00,,2023-03-20 23:47:00,2023-03-21 00:25:00,38.0
J256,M01,Completed,4.89,0.006666666666666667,2023-03-20 02:30:00,2023-03-20 03:30:00,,2023-03-21 00:25:00,2023-03-21 01:25:00,60.0
J261,M01,Delayed,4.72,1.0,2023-03-20 03:20:00,2023-03-20 05:04:00,,2023-03-21 01:25:00,2023-03-21 03:09:00,104.0
J269,M01,Delayed,4.0,0.9933333333333333,2023-03-20 04:40:00,2023-03-20 05:05:00,,2023-03-21 03:09:00,2023-03-21 03:34:00,25.0
J271,M01,Completed,7.47,0.0,2023-03-20 05:00:00,2023-03-20 05:21:00,,2023-03-21 03:34:00,2023-03-21 03:55:00,21.0
J273,M01,Delayed,5.42,0.9933333333333333,2023-03-20 05:20:00,2023-03-20 06:38:00,,2023-03-21 03:55:00,2023-03-21 05:13:00,78.0
J277,M01,Completed,12.37,0.0,2023-03-20 06:00:00,2023-03-20 07:16:00,,2023-03-21 05:13:00,2023-03-21 06:29:00,76.0
J283,M01,Completed,9.47,0.0,2023-03-20 07:00:00,2023-03-20 07:37:00,,2023-03-21 06:29:00,2023-03-21 07:06:00,37.0
J285,M01,Completed,13.31,0.0,2023-03-20 07:20:00,2023-03-20 09:06:00,,2023-03-21 07:06:00,2023-03-21 08:52:00,106.0
J297,M01,Delayed,2.05,0.98,2023-03-20 09:20:00,2023-03-20 10:39:00,,2023-03-21 08:52:00,2023-03-21 10:11:00,79.0
J308,M01,Completed,3.41,0.0,2023-03-20 11:10:00,2023-03-20 12:00:00,,2023-03-21 10:11:00,2023-03-21 11:01:00,50.0
J321,M01,Delayed,10.34,1.0,2023-03-20 13:20:00,2023-03-20 14:30:00,,2023-03-21 11:01:00,2023-03-21 12:11:00,70.0
J323,M01,Completed,5.88,0.0,2023-03-20 13:40:00,2023-03-20 15:10:00,,2023-03-21 12:11:00,2023-03-21 13:41:00,90.0
J326,M01,Completed,4.74,0.006666666666666667,2023-03-20 14:10:00,2023-03-20 15:10:00,,2023-03-21 13:41:00,2023-03-21 14:41:00,60.0
J330,M01,Completed,8.66,0.006666666666666667,2023-03-20 14:50:00,2023-03-20 15:44:00,,2023-03-21 14:41:00,2023-03-21 15:35:00,54.0
J338,M01,Completed,13.97,0.006666666666666667,2023-03-20 16:10:00,2023-03-20 17:21:00,,2023-03-21 15:35:00,2023-03-21 16:46:00,71.0
J344,M01,Completed,14.98,0.0,2023-03-20 17:10:00,2023-03-20 18:44:00,,2023-03-21 16:46:00,2023-03-21 18:20:00,94.0
J347,M01,Completed,14.45,0.0,2023-03-20 17:40:00,2023-03-20 18:53:00,,2023-03-21 18:20:00,2023-03-21 19:33:00,73.0
J352,M01,Completed,14.04,0.0,2023-03-20 18:30:00,2023-03-20 20:03:00,,2023-03-21 19:33:00,2023-03-21 21:06:00,93.0
J356,M01,Completed,10.12,0.006666666666666667,2023-03-20 19:10:00,2023-03-20 20:51:00,,2023-03-21 21:06:00,2023-03-21 22:47:00,101.0
J358,M01,Failed,8.79,0.9866666666666667,2023-03-20 19:30:00,2023-03-20 20:36:00,,2023-03-21 22:47:00,2023-03-21 23:53:00,66.0
J371,M01,Completed,4.38,0.0,2023-03-20 21:40:00,2023-03-20 22:12:00,,2023-03-21 23:53:00,2023-03-22 00:25:00,32.0
J378,M01,Failed,4.78,0.9933333333333333,2023-03-20 22:50:00,2023-03-20 23:53:00,,2023-03-22 00:25:00,2023-03-22 01:28:00,63.0
J379,M01,Completed,5.13,0.006666666666666667,2023-03-20 23:00:00,2023-03-20 23:47:00,,2023-03-22 01:28:00,2023-03-22 02:15:00,47.0
J381,M01,Completed,7.85,0.0,2023-03-20 23:20:00,2023-03-21 00:49:00,,2023-03-22 02:15:00,2023-03-22 03:44:00,89.0
J383,M01,Delayed,3.68,0.9866666666666667,2023-03-20 23:40:00,2023-03-21 00:45:00,,2023-03-22 03:44:00,2023-03-22 04:49:00,65.0
J384,M01,Completed,11.62,0.0,2023-03-20 23:50:00,2023-03-21 00:40:00,,2023-03-22 04:49:00,2023-03-22 05:39:00,50.0
J387,M01,Completed,4.47,0.0,2023-03-21 00:20:00,2023-03-21 01:02:00,,2023-03-22 05:39:00,2023-03-22 06:21:00,42.0
J389,M01,Completed,9.02,0.0,2023-03-21 00:40:00,2023-03-21 01:51:00,,2023-03-22 06:21:00,2023-03-22 07:32:00,71.0
J392,M01,Completed,10.86,0.006666666666666667,2023-03-21 01:10:00,2023-03-21 02:46:00,,2023-03-22 07:32:00,2023-03-22 09:08:00,96.0
J393,M01,Completed,2.09,0.006666666666666667,2023-03-21 01:20:00,2023-03-21 02:29:00,,2023-03-22 09:08:00,2023-03-22 10:17:00,69.0
J398,M01,Completed,13.87,0.0,2023-03-21 02:10:00,2023-03-21 03:32:00,,2023-03-22 10:17:00,2023-03-22 11:39:00,82.0
J404,M01,Delayed,11.11,0.9933333333333333,2023-03-21 03:10:00,2023-03-21 04:39:00,,2023-03-22 11:39:00,2023-03-22 13:08:00,89.0
J412,M01,Delayed,2.94,1.0,2023-03-21 04:30:00,2023-03-21 05:16:00,,2023-03-22 13:08:00,2023-03-22 13:54:00,46.0
J416,M01,Completed,11.97,0.0,2023-03-21 05:10:00,2023-03-21 06:57:00,,2023-03-22 13:54:00,2023-03-22 15:41:00,107.0
J417,M01,Failed,6.94,0.9933333333333333,2023-03-21 05:20:00,2023-03-21 06:10:00,,2023-03-22 15:41:00,2023-03-22 16:31:00,50.0
J422,M01,Completed,6.31,0.02,2023-03-21 06:10:00,2023-03-21 08:09:00,,2023-03-22 16:31:00,2023-03-22 18:30:00,119.0
J424,M01,Failed,8.93,1.0,2023-03-21 06:30:00,2023-03-21 07:34:00,,2023-03-22 18:30:00,2023-03-22 19:34:00,64.0
J429,M01,Completed,13.16,0.0,2023-03-21 07:20:00,2023-03-21 08:20:00,,2023-03-22 19:34:00,2023-03-22 20:34:00,60.0
J431,M01,Completed,2.15,0.006666666666666667,2023-03-21 07:40:00,2023-03-21 08:28:00,,2023-03-22 20:34:00,2023-03-22 21:22:00,48.0
J447,M01,Completed,3.13,0.0,2023-03-21 10:20:00,2023-03-21 11:33:00,,2023-03-22 21:22:00,2023-03-22 22:35:00,73.0
J449,M01,Completed,3.42,0.0,2023-03-21 10:40:00,2023-03-21 12:38:00,,2023-03-22 22:35:00,2023-03-23 00:33:00,118.0
J451,M01,Delayed,9.01,0.9933333333333333,2023-03-21 11:00:00,2023-03-21 12:49:00,,2023-03-23 00:33:00,2023-03-23 02:22:00,109.0
J455,M01,Completed,2.35,0.02,2023-03-21 11:40:00,2023-03-21 13:27:00,,2023-03-23 02:22:00,2023-03-23 04:09:00,107.0
J465,M01,Failed,2.46,0.98,2023-03-21 13:20:00,2023-03-21 13:48:00,,2023-03-23 04:09:00,2023-03-23 04:37:00,28.0
J466,M01,Completed,11.49,0.0,2023-03-21 13:30:00,2023-03-21 13:51:00,,2023-03-23 04:37:00,2023-03-23 04:58:00,21.0
J467,M01,Completed,10.63,0.0,2023-03-21 13:40:00,2023-03-21 14:17:00,,2023-03-23 04:58:00,2023-03-23 05:35:00,37.0
J471,M01,Completed,2.3,0.013333333333333334,2023-03-21 14:20:00,2023-03-21 14:42:00,,2023-03-23 05:35:00,2023-03-23 05:57:00,22.0
J475,M01,Completed,8.41,0.013333333333333334,2023-03-21 15:00:00,2023-03-21 16:46:00,,2023-03-23 05:57:00,2023-03-23 07:43:00,106.0
J477,M01,Completed,14.52,0.006666666666666667,2023-03-21 15:20:00,2023-03-21 15:55:00,,2023-03-23 07:43:00,2023-03-23 08:18:00,35.0
J480,M01,Completed,5.21,0.0,2023-03-21 15:50:00,2023-03-21 16:44:00,,2023-03-23 08:18:00,2023-03-23 09:12:00,54.0
J481,M01,Delayed,8.81,0.9933333333333333,2023-03-21 16:00:00,2023-03-21 16:38:00,,2023-03-23 09:12:00,2023-03-23 09:50:00,38.0
J487,M01,Delayed,9.22,1.0,2023-03-21 17:00:00,2023-03-21 18:40:00,,2023-03-23 09:50:00,2023-03-23 11:30:00,100.0
J491,M01,Completed,13.87,0.0,2023-03-21 17:40:00,2023-03-21 18:16:00,,2023-03-23 11:30:00,2023-03-23 12:06:00,36.0
J495,M01,Completed,6.16,0.0,2023-03-21 18:20:00,2023-03-21 19:04:00,,2023-03-23 12:06:00,2023-03-23 12:50:00,44.0
J497,M01,Completed,10.07,0.006666666666666667,2023-03-21 18:40:00,2023-03-21 19:03:00,,2023-03-23 12:50:00,2023-03-23 13:13:00,23.0
J498,M01,Completed,8.17,0.0,2023-03-21 18:50:00,2023-03-21 20:27:00,,2023-03-23 13:13:00,2023-03-23 14:50:00,97.0
J503,M01,Completed,14.29,0.0,2023-03-21 19:40:00,2023-03-21 21:10:00,,2023-03-23 14:50:00,2023-03-23 16:20:00,90.0
J504,M01,Delayed,13.88,1.0,2023-03-21 19:50:00,2023-03-21 21:11:00,,2023-03-23 16:20:00,2023-03-23 17:41:00,81.0
J507,M01,Delayed,14.51,0.9733333333333334,2023-03-21 20:20:00,2023-03-21 20:42:00,,2023-03-23 17:41:00,2023-03-23 18:03:00,22.0
J510,M01,Failed,14.14,0.9933333333333333,2023-03-21 20:50:00,2023-03-21 21:51:00,,2023-03-23 18:03:00,2023-03-23 19:04:00,61.0
J514,M01,Failed,9.83,0.98,2023-03-21 21:30:00,2023-03-21 23:26:00,,2023-03-23 19:04:00,2023-03-23 21:00:00,116.0
J516,M01,Failed,4.77,0.9866666666666667,2023-03-21 21:50:00,2023-03-21 22:40:00,,2023-03-23 21:00:00,2023-03-23 21:50:00,50.0
J525,M01,Completed,10.02,0.0,2023-03-21 23:20:00,2023-03-22 00:52:00,,2023-03-23 21:50:00,2023-03-23 23:22:00,92.0
J527,M01,Completed,3.15,0.006666666666666667,2023-03-21 23:40:00,2023-03-22 00:47:00,,2023-03-23 23:22:00,2023-03-24 00:29:00,67.0
J531,M01,Completed,8.86,0.02,2023-03-22 00:20:00,2023-03-22 01:50:00,,2023-03-24 00:29:00,2023-03-24 01:59:00,90.0
J533,M01,Completed,6.86,0.02666666666666667,2023-03-22 00:40:00,2023-03-22 02:32:00,,2023-03-24 01:59:00,2023-03-24 03:51:00,112.0
J536,M01,Completed,6.97,0.0,2023-03-22 01:10:00,2023-03-22 02:50:00,,2023-03-24 03:51:00,2023-03-24 05:31:00,100.0
J538,M01,Completed,2.16,0.0,2023-03-22 01:30:00,2023-03-22 02:45:00,,2023-03-24 05:31:00,2023-03-24 06:46:00,75.0
J539,M01,Completed,10.59,0.013333333333333334,2023-03-22 01:40:00,2023-03-22 03:36:00,,2023-03-24 06:46:00,2023-03-24 08:42:00,116.0
J541,M01,Completed,4.45,0.0,2023-03-22 02:00:00,2023-03-22 02:53:00,,2023-03-24 08:42:00,2023-03-24 09:35:00,53.0
J551,M01,Completed,5.05,0.0,2023-03-22 03:40:00,2023-03-22 05:05:00,,2023-03-24 09:35:00,2023-03-24 11:00:00,85.0
J552,M01,Completed,11.58,0.0,2023-03-22 03:50:00,2023-03-22 04:58:00,,2023-03-24 11:00:00,2023-03-24 12:08:00,68.0
J560,M01,Delayed,12.1,1.0,2023-03-22 05:10:00,2023-03-22 06:29:00,,2023-03-24 12:08:00,2023-03-24 13:27:00,79.0
J567,M01,Completed,7.35,0.0,2023-03-22 06:20:00,2023-03-22 07:48:00,,2023-03-24 13:27:00,2023-03-24 14:55:00,88.0
J581,M01,Completed,11.24,0.0,2023-03-22 08:40:00,2023-03-22 09:47:00,,2023-03-24 14:55:00,2023-03-24 16:02:00,67.0
J586,M01,Completed,10.05,0.006666666666666667,2023-03-22 09:30:00,2023-03-22 10:58:00,,2023-03-24 16:02:00,2023-03-24 17:30:00,88.0
J592,M01,Failed,6.62,0.9866666666666667,2023-03-22 10:30:00,2023-03-22 11:39:00,,2023-03-24 17:30:00,2023-03-24 18:39:00,69.0
J600,M01,Completed,10.66,0.0,2023-03-22 11:50:00,2023-03-22 12:53:00,,2023-03-24 18:39:00,2023-03-24 19:42:00,63.0
J601,M01,Completed,12.62,0.0,2023-03-22 12:00:00,2023-03-22 13:00:00,,2023-03-24 19:42:00,2023-03-24 20:42:00,60.0
J606,M01,Completed,11.35,0.0,2023-03-22 12:50:00,2023-03-22 14:33:00,,2023-03-24 20:42:00,2023-03-24 22:25:00,103.0
J610,M01,Failed,2.46,0.94,2023-03-22 13:30:00,2023-03-22 15:26:00,,2023-03-24 22:25:00,2023-03-25 00:21:00,116.0
J611,M01,Failed,7.41,1.0,2023-03-22 13:40:00,2023-03-22 14:50:00,,2023-03-25 00:21:00,2023-03-25 01:31:00,70.0
J614,M01,Completed,5.71,0.0,2023-03-22 14:10:00,2023-03-22 15:27:00,,2023-03-25 01:31:00,2023-03-25 02:48:00,77.0
J616,M01,Failed,6.11,0.9666666666666667,2023-03-22 14:30:00,2023-03-22 15:15:00,,2023-03-25 02:48:00,2023-03-25 03:33:00,45.0
J617,M01,Completed,11.05,0.0,2023-03-22 14:40:00,2023-03-22 15:46:00,,2023-03-25 03:33:00,2023-03-25 04:39:00,66.0
J619,M01,Delayed,11.61,0.9733333333333334,2023-03-22 15:00:00,2023-03-22 16:54:00,,2023-03-25 04:39:00,2023-03-25 06:33:00,114.0
J620,M01,Completed,13.5,0.006666666666666667,2023-03-22 15:10:00,2023-03-22 17:02:00,,2023-03-25 06:33:00,2023-03-25 08:25:00,112.0
J625,M01,Delayed,11.67,1.0,2023-03-22 16:00:00,2023-03-22 17:10:00,,2023-03-25 08:25:00,2023-03-25 09:35:00,70.0
J627,M01,Completed,3.4,0.0,2023-03-22 16:20:00,2023-03-22 17:32:00,,2023-03-25 09:35:00,2023-03-25 10:47:00,72.0
J631,M01,Completed,2.63,0.02,2023-03-22 17:00:00,2023-03-22 18:45:00,,2023-03-25 10:47:00,2023-03-25 12:32:00,105.0
J632,M01,Completed,13.64,0.013333333333333334,2023-03-22 17:10:00,2023-03-22 18:01:00,,2023-03-25 12:32:00,2023-03-25 13:23:00,51.0
J640,M01,Completed,6.59,0.0,2023-03-22 18:30:00,2023-03-22 19:06:00,,2023-03-25 13:23:00,2023-03-25 13:59:00,36.0
J641,M01,Delayed,3.17,0.98,2023-03-22 18:40:00,2023-03-22 20:33:00,,2023-03-25 13:59:00,2023-03-25 15:52:00,113.0
J645,M01,Delayed,8.42,0.9933333333333333,2023-03-22 19:20:00,2023-03-22 20:10:00,,2023-03-25 15:52:00,2023-03-25 16:42:00,50.0
J648,M01,Completed,11.0,0.0,2023-03-22 19:50:00,2023-03-22 20:46:00,,2023-03-25 16:42:00,2023-03-25 17:38:00,56.0
J651,M01,Delayed,6.08,1.0,2023-03-22 20:20:00,2023-03-22 20:57:00,,2023-03-25 17:38:00,2023-03-25 18:15:00,37.0
J652,M01,Completed,3.47,0.0,2023-03-22 20:30:00,2023-03-22 20:55:00,,2023-03-25 18:15:00,2023-03-25 18:40:00,25.0
J660,M01,Delayed,3.14,0.98,2023-03-22 21:50:00,2023-03-22 23:50:00,,2023-03-25 18:40:00,2023-03-25 20:40:00,120.0
J666,M01,Completed,2.99,0.006666666666666667,2023-03-22 22:50:00,2023-03-23 00:01:00,,2023-03-25 20:40:00,2023-03-25 21:51:00,71.0
J667,M01,Completed,6.57,0.0,2023-03-22 23:00:00,2023-03-23 00:11:00,,2023-03-25 21:51:00,2023-03-25 23:02:00,71.0
J668,M01,Completed,11.77,0.0,2023-03-22 23:10:00,2023-03-22 23:39:00,,2023-03-25 23:02:00,2023-03-25 23:31:00,29.0
J670,M01,Completed,10.61,0.013333333333333334,2023-03-22 23:30:00,2023-03-23 00:54:00,,2023-03-25 23:31:00,2023-03-26 00:55:00,84.0
J676,M01,Delayed,12.39,0.9933333333333333,2023-03-23 00:30:00,2023-03-23 02:18:00,,2023-03-26 00:55:00,2023-03-26 02:43:00,108.0
J679,M01,Completed,10.69,0.006666666666666667,2023-03-23 01:00:00,2023-03-23 02:16:00,,2023-03-26 02:43:00,2023-03-26 03:59:00,76.0
J688,M01,Completed,7.47,0.0,2023-03-23 02:30:00,2023-03-23 03:32:00,,2023-03-26 03:59:00,2023-03-26 05:01:00,62.0
J692,M01,Completed,4.07,0.006666666666666667,2023-03-23 03:10:00,2023-03-23 04:33:00,,2023-03-26 05:01:00,2023-03-26 06:24:00,83.0
J694,M01,Completed,9.15,0.006666666666666667,2023-03-23 03:30:00,2023-03-23 03:53:00,,2023-03-26 06:24:00,2023-03-26 06:47:00,23.0
J695,M01,Delayed,8.73,1.0,2023-03-23 03:40:00,2023-03-23 05:00:00,,2023-03-26 06:47:00,2023-03-26 08:07:00,80.0
J696,M01,Delayed,8.34,0.98,2023-03-23 03:50:00,2023-03-23 05:44:00,,2023-03-26 08:07:00,2023-03-26 10:01:00,114.0
J700,M01,Completed,8.39,0.0,2023-03-23 04:30:00,2023-03-23 06:15:00,,2023-03-26 10:01:00,2023-03-26 11:46:00,105.0
J703,M01,Completed,7.52,0.0,2023-03-23 05:00:00,2023-03-23 05:41:00,,2023-03-26 11:46:00,2023-03-26 12:27:00,41.0
J720,M01,Completed,2.78,0.0,2023-03-23 07:50:00,2023-03-23 09:21:00,,2023-03-26 12:27:00,2023-03-26 13:58:00,91.0
J724,M01,Completed,9.08,0.006666666666666667,2023-03-23 08:30:00,2023-03-23 09:02:00,,2023-03-26 13:58:00,2023-03-26 14:30:00,32.0
J727,M01,Delayed,12.34,1.0,2023-03-23 09:00:00,2023-03-23 09:30:00,,2023-03-26 14:30:00,2023-03-26 15:00:00,30.0
J735,M01,Completed,6.6,0.013333333333333334,2023-03-23 10:20:00,2023-03-23 11:14:00,,2023-03-26 15:00:00,2023-03-26 15:54:00,54.0
J738,M01,Failed,14.94,0.98,2023-03-23 10:50:00,2023-03-23 12:04:00,,2023-03-26 15:54:00,2023-03-26 17:08:00,74.0
J740,M01,Completed,11.98,0.0,2023-03-23 11:10:00,2023-03-23 12:08:00,,2023-03-26 17:08:00,2023-03-26 18:06:00,58.0
J741,M01,Failed,12.99,1.0,2023-03-23 11:20:00,2023-03-23 11:58:00,,2023-03-26 18:06:00,2023-03-26 18:44:00,38.0
J742,M01,Completed,12.89,0.006666666666666667,2023-03-23 11:30:00,2023-03-23 12:45:00,,2023-03-26 18:44:00,2023-03-26 19:59:00,75.0
J753,M01,Failed,3.29,0.98,2023-03-23 13:20:00,2023-03-23 14:10:00,,2023-03-26 19:59:00,2023-03-26 20:49:00,50.0
J769,M01,Completed,4.32,0.0,2023-03-23 16:00:00,2023-03-23 16:59:00,,2023-03-26 20:49:00,2023-03-26 21:48:00,59.0
J774,M01,Completed,13.76,0.006666666666666667,2023-03-23 16:50:00,2023-03-23 17:59:00,,2023-03-26 21:48:00,2023-03-26 22:57:00,69.0
J779,M01,Completed,3.28,0.0,2023-03-23 17:40:00,2023-03-23 18:44:00,,2023-03-26 22:57:00,2023-03-27 00:01:00,64.0
J783,M01,Completed,12.23,0.0,2023-03-23 18:20:00,2023-03-23 19:33:00,,2023-03-27 00:01:00,2023-03-27 01:14:00,73.0
